epoch,model_file,evaluation_time,samples_evaluated,generator_lr,discriminator_lr,total_loss,identity_loss,healing_loss,adversarial_loss,segmentation_loss,perceptual_loss,discriminator_loss,status
75,abnormal_to_normal_75.pth,0.17,3,0.000200,0.000200,4.572948,0.050649,0.071198,3.922197,0.000000,0.001863,0.200137,success
76,abnormal_to_normal_76.pth,0.16,3,0.000200,0.000200,10.180101,0.053731,0.076211,9.487747,0.000000,0.002621,0.650616,success
77,abnormal_to_normal_77.pth,0.20,3,0.000200,0.000200,4.351588,0.052081,0.082487,3.662508,0.000000,0.003300,0.222154,success
78,abnormal_to_normal_78.pth,0.26,3,0.000200,0.000200,4.567897,0.067174,0.098100,3.692741,0.000000,0.007211,0.112114,success
79,abnormal_to_normal_79.pth,0.17,3,0.000200,0.000200,5.233047,0.053296,0.079514,4.539046,0.000000,0.002015,0.107950,success
80,abnormal_to_normal_80.pth,0.17,3,0.000200,0.000200,3.033033,0.057430,0.080697,2.293994,0.000000,0.003342,0.128844,success
81,abnormal_to_normal_81.pth,0.17,3,0.000200,0.000200,5.479902,0.066224,0.090740,4.631905,0.000000,0.004281,0.155016,success
82,abnormal_to_normal_82.pth,0.17,3,0.000200,0.000200,4.551562,0.059374,0.081256,3.791320,0.000000,0.003995,0.131513,success
83,abnormal_to_normal_83.pth,0.18,3,0.000200,0.000200,4.229130,0.060929,0.090393,3.434802,0.000000,0.004253,0.063923,success
84,abnormal_to_normal_84.pth,0.19,3,0.000200,0.000200,3.744049,0.053751,0.087886,3.027210,0.000000,0.003558,0.065764,success
85,abnormal_to_normal_85.pth,0.17,3,0.000200,0.000200,5.663904,0.062444,0.083507,4.869493,0.000000,0.002960,0.014872,success
86,abnormal_to_normal_86.pth,0.16,3,0.000200,0.000200,3.115485,0.066383,0.082338,2.285099,0.000000,0.001879,0.170955,success
87,abnormal_to_normal_87.pth,0.17,3,0.000200,0.000200,5.447256,0.062785,0.086920,4.643214,0.000000,0.002352,0.100332,success
88,abnormal_to_normal_88.pth,0.16,3,0.000200,0.000200,5.016060,0.060657,0.091933,4.220713,0.000000,0.004912,0.147589,success
89,abnormal_to_normal_89.pth,0.17,3,0.000200,0.000200,5.089433,0.082139,0.103322,4.060298,0.000000,0.001101,0.036159,success
90,abnormal_to_normal_90.pth,0.17,3,0.000200,0.000200,4.422432,0.069863,0.088799,3.543689,0.000000,0.002511,0.051737,success
91,abnormal_to_normal_91.pth,0.16,3,0.000200,0.000200,4.049464,0.075058,0.119428,3.046319,0.000000,0.013707,0.068381,success
92,abnormal_to_normal_92.pth,0.16,3,0.000200,0.000200,4.967972,0.073635,0.107601,4.009974,0.000000,0.006442,0.307502,success
93,abnormal_to_normal_93.pth,0.16,3,0.000200,0.000200,4.529226,0.067190,0.088258,3.678543,0.000000,0.002267,0.066593,success
94,abnormal_to_normal_94.pth,0.17,3,0.000200,0.000200,4.550178,0.068433,0.091085,3.679429,0.000000,0.004253,0.344249,success
95,abnormal_to_normal_95.pth,0.16,3,0.000200,0.000200,6.523515,0.141749,0.168123,4.766319,0.000000,0.003464,0.018748,success
96,abnormal_to_normal_96.pth,0.16,3,0.000200,0.000200,6.007901,0.064196,0.087524,5.188192,0.000000,0.002701,0.333543,success
97,abnormal_to_normal_97.pth,0.18,3,0.000200,0.000200,5.266411,0.073690,0.093646,4.339781,0.000000,0.002439,0.082786,success
98,abnormal_to_normal_98.pth,0.15,3,0.000200,0.000200,3.542840,0.064592,0.089519,2.714705,0.000000,0.003179,0.095822,success
99,abnormal_to_normal_99.pth,0.15,3,0.000200,0.000200,5.281144,0.069777,0.093383,4.394554,0.000000,0.002054,0.141783,success
100,abnormal_to_normal_100.pth,0.17,3,0.000200,0.000200,4.695076,0.070563,0.104982,3.773072,0.000000,0.006408,0.135943,success
101,abnormal_to_normal_101.pth,0.17,3,0.000198,0.000198,6.430562,0.070966,0.114111,5.483842,0.000000,0.008840,0.318158,success
102,abnormal_to_normal_102.pth,0.16,3,0.000196,0.000196,5.226394,0.071325,0.106124,4.296803,0.000000,0.004092,0.068961,success
103,abnormal_to_normal_103.pth,0.16,3,0.000194,0.000194,5.054993,0.075204,0.105146,4.088217,0.000000,0.004446,0.030501,success
104,abnormal_to_normal_104.pth,0.17,3,0.000192,0.000192,4.717099,0.071030,0.097966,3.807948,0.000000,0.002920,0.028464,success
